Type product;Brand;Model;Min price;Max price;Num offers;URL
Televisor;Samsung;UE65TU7172;16 350 Kč;no max price;velektro Műller;https://www.heureka.cz/exit/elektro-muller-cz/4235566791/?z=48
Televisor;LG;32LM6370;7 490;10 048 Kč;v 14 obchodech;https://televize.heureka.cz/lg-32lm6370/
Televisor;LG;55NANO80;12 985;26 990 Kč;v 39 obchodech;https://televize.heureka.cz/lg-55nano80/
Televisor;Samsung;QE55Q70T;19 990;25 970 Kč;v 20 obchodech;https://televize.heureka.cz/samsung-qe55q70t/
Televisor;Samsung;UE65TU8502;18 422;29 990 Kč;v 10 obchodech;https://televize.heureka.cz/samsung-ue65tu8502/
Televisor;Philips;55OLED855;29 990;50 284 Kč;v 20 obchodech;https://televize.heureka.cz/philips-55oled855/
Televisor;Finlux;TV24FDM5660;6 790;7 499 Kč;v 6 obchodech;https://televize.heureka.cz/finlux-tv24fdm5660/
Televisor;Sencor;SLE;5 490;6 378 Kč;v 15 obchodech;https://televize.heureka.cz/sencor-sle-40f16tcs/
Televisor;Samsung;UE50TU7172;11 194;12 599 Kč;ve 4 obchodech;https://televize.heureka.cz/samsung-ue50tu7172/
Televisor;Sony;KD-55XH9096;24 989;24 999 Kč;v 6 obchodech;https://televize.heureka.cz/sony-kd-55xh9096/
Televisor;Metz;42MTC6000;5 990;9 290 Kč;v 5 obchodech;https://televize.heureka.cz/metz-42mtc6000/
Televisor;Samsung;UE55TU8502;13 990;16 990 Kč;ve 3 obchodech;https://televize.heureka.cz/samsung-ue55tu8502/
Televisor;Thomson;32HD3306;4 490;4 513 Kč;ve 4 obchodech;https://televize.heureka.cz/thomson-32hd3306/
Televisor;Thomson;32HE5606;5 490;6 362 Kč;v 8 obchodech;https://televize.heureka.cz/thomson-32he5606/
Televisor;Hisense;43AE7000F;7 989;8 643 Kč;v 13 obchodech;https://televize.heureka.cz/hisense-43ae7000f/
Televisor;Sencor;SLE;2 673;3 149 Kč;v 45 obchodech;https://televize.heureka.cz/sencor-sle-1963t/
Televisor;Samsung;UE75TU7092;23 325;29 990 Kč;v 37 obchodech;https://televize.heureka.cz/samsung-ue75tu7092/
Televisor;Samsung;UE32T5372;8 490;8 580 Kč;v 17 obchodech;https://televize.heureka.cz/samsung-ue32t5372/
Televisor;Samsung;QE32LS03TC;12 310;14 990 Kč;v 10 obchodech;https://televize.heureka.cz/samsung-qe32ls03tc/
Televisor;LG;70UN7100;19 990 Kč;no max price;vApollo Obr;https://www.heureka.cz/exit/apollo-obr-cz/3897219134/?z=48
Televisor;LG;43LM6300;8 089;8 490 Kč;ve 3 obchodech;https://televize.heureka.cz/lg-43lm6300/
Televisor;Thomson;32HD3326;3 790 Kč;no max price;ve 2 obchodech;https://televize.heureka.cz/thomson-32hd3326/
Televisor;Samsung;UE43TU8502;11 781;14 990 Kč;v 7 obchodech;https://televize.heureka.cz/samsung-ue43tu8502/
Televisor;Philips;58PUS8505;15 335;34 789 Kč;v 24 obchodech;https://televize.heureka.cz/philips-58pus8505/
Televisor;LG;OLED48CX;29 990;34 990 Kč;v 12 obchodech;https://televize.heureka.cz/lg-oled48cx/
Televisor;LG;49UN7300;8 990;10 169 Kč;v 12 obchodech;https://televize.heureka.cz/lg-49un7300/
Televisor;Philips;65PUS8505;21 290;29 999 Kč;v 26 obchodech;https://televize.heureka.cz/philips-65pus8505/
Televisor;Hisense;H55B7100;8 441 Kč;no max price;vExtreme Digital Zrt.;https://www.heureka.cz/exit/edigital-cz/3784019265/?z=48
Televisor;Panasonic;TX-55HZ980E;27 436;29 990 Kč;v 12 obchodech;https://televize.heureka.cz/panasonic-tx-55hz980e/
Televisor;LG;32LM630B;6 799;6 990 Kč;ve 4 obchodech;https://televize.heureka.cz/lg-32lm630b/
Televisor;Panasonic;TX-40FS503E;9 587;11 754 Kč;v 55 obchodech;https://televize.heureka.cz/panasonic-tx-40fs503e/
Televisor;LG;65UN8000;14 390;16 508 Kč;ve 3 obchodech;https://televize.heureka.cz/lg-65un8000/
Televisor;LG;49NANO80;10 390;13 008 Kč;v 34 obchodech;https://televize.heureka.cz/lg-49nano80/
Televisor;Panasonic;TX-58HX810E;14 990;17 990 Kč;v 8 obchodech;https://televize.heureka.cz/panasonic-tx-58hx810e/
Televisor;Samsung;QE55Q95T;29 990;49 990 Kč;v 21 obchodech;https://televize.heureka.cz/samsung-qe55q95t/
Televisor;Hisense;50AE7000F;8 489;9 998 Kč;v 9 obchodech;https://televize.heureka.cz/hisense-50ae7000f/
Televisor;Sony;Bravia;6 390;7 797 Kč;v 6 obchodech;https://televize.heureka.cz/sony-bravia-kdl-32we615/
Televisor;Sencor;SLE;2 890;3 790 Kč;v 34 obchodech;https://televize.heureka.cz/sencor-sle-22f62tcs/
Televisor;LG;43UP7690;10 552;14 522 Kč;v 29 obchodech;https://televize.heureka.cz/lg-43up7690/
Televisor;Sencor;SLE;3 590;4 430 Kč;v 35 obchodech;https://televize.heureka.cz/sencor-sle-3227t/
Televisor;Philips;55OLED705;23 590;24 999 Kč;v 11 obchodech;https://televize.heureka.cz/philips-55oled705/
Televisor;Vivax;40LE112T2S2;4 888;5 990 Kč;v 6 obchodech;https://televize.heureka.cz/vivax-40le112t2s2/
Televisor;TCL;43P610;6 490;8 990 Kč;v 33 obchodech;https://televize.heureka.cz/tcl-43p610/
Televisor;LG;55NANO81;13 089;19 990 Kč;v 10 obchodech;https://televize.heureka.cz/lg-55nano81/
Televisor;Sony;KD-55XH9505;29 990;39 480 Kč;v 13 obchodech;https://televize.heureka.cz/sony-kd-55xh9505/
Televisor;Hisense;32A5100F;3 990;4 766 Kč;v 13 obchodech;https://televize.heureka.cz/hisense-32a5100f/
Televisor;LG;49NANO81;11 490;19 990 Kč;v 7 obchodech;https://televize.heureka.cz/lg-49nano81/
Televisor;Sencor;SLE;5 690;6 441 Kč;v 43 obchodech;https://televize.heureka.cz/sencor-sle-43f17tcs/
Televisor;TCL;65C815;25 990 Kč;no max price;ve 3 obchodech;https://televize.heureka.cz/tcl-65c815/
Televisor;Philips;65PUS7805;15 990;21 999 Kč;v 7 obchodech;https://televize.heureka.cz/philips-65pus7805/
Televisor;Hisense;58AE7000F;10 499;12 590 Kč;v 17 obchodech;https://televize.heureka.cz/hisense-58ae7000f/
Televisor;Sony;KD-55A8;34 989;49 990 Kč;ve 3 obchodech;https://televize.heureka.cz/sony-kd-55a8/
Televisor;Strong;SRT24HZ4003;2 533;3 499 Kč;v 25 obchodech;https://televize.heureka.cz/strong-srt24hz4003/
Televisor;LG;OLED55C11;32 149;42 630 Kč;v 13 obchodech;https://televize.heureka.cz/lg-oled55c11/
Televisor;GoSAT;GS3260E;4 890;4 990 Kč;v 12 obchodech;https://televize.heureka.cz/gosat-gs3260e/
Televisor;GoSAT;GS3210E;3 490;3 799 Kč;v 9 obchodech;https://televize.heureka.cz/gosat-gs3210e/
Televisor;LG;65NANO80;16 590;32 990 Kč;v 24 obchodech;https://televize.heureka.cz/lg-65nano80/
Televisor;LG;55UN8100;12 354;16 990 Kč;v 8 obchodech;https://televize.heureka.cz/lg-55un8100/
Televisor;Philips;24PFS5505;3 859;4 949 Kč;v 29 obchodech;https://televize.heureka.cz/philips-24pfs5505/
Televisor;Samsung;UE32T4002;4 490;5 765 Kč;v 44 obchodech;https://televize.heureka.cz/samsung-ue32t4002/
Televisor;LG;75UN7100;23 490;29 990 Kč;v 7 obchodech;https://televize.heureka.cz/lg-75un7100/
Televisor;Samsung;QE55Q90T;29 999;44 990 Kč;ve 4 obchodech;https://televize.heureka.cz/samsung-qe55q90t/
Televisor;Metz;32MTC6000;4 990;5 990 Kč;v 5 obchodech;https://televize.heureka.cz/metz-32mtc6000/
Televisor;Philips;32PHS5505;4 370;7 031 Kč;v 61 obchodech;https://televize.heureka.cz/philips-32phs5505/
Televisor;Xiaomi;Mi;14 990 Kč;no max price;vPodmix.cz;https://www.heureka.cz/exit/podmix-cz/4146798631/?z=48
Televisor;Philips;55PUS7805;12 790;16 990 Kč;v 33 obchodech;https://televize.heureka.cz/philips-55pus7805/
Televisor;Sony;Bravia;11 490;15 207 Kč;v 25 obchodech;https://televize.heureka.cz/sony-bravia-kdl-50wf665/
Televisor;ECG;40;4 990;5 499 Kč;v 7 obchodech;https://televize.heureka.cz/ecg-40-f03t2s2/
Televisor;LG;75UN7070;23 333;24 990 Kč;ve 4 obchodech;https://televize.heureka.cz/lg-75un7070/
Televisor;Philips;70PUS8505;24 990;41 378 Kč;v 24 obchodech;https://televize.heureka.cz/philips-70pus8505/
Televisor;Sencor;SLE;5 699;6 012 Kč;v 21 obchodech;https://televize.heureka.cz/sencor-sle-43f16tcs/
Televisor;LG;OLED55GX;33 990;53 990 Kč;v 10 obchodech;https://televize.heureka.cz/lg-oled55gx/
Televisor;Hisense;43A7300F;8 490;9 990 Kč;v 13 obchodech;https://televize.heureka.cz/hisense-43a7300f/
Televisor;Xiaomi;Mi;11 800;12 491 Kč;ve 2 obchodech;https://televize.heureka.cz/xiaomi-mi-smart-tv-4s-43-l43m5-5asp/
Televisor;TCL;40S615;6 990;7 490 Kč;v 6 obchodech;https://televize.heureka.cz/tcl-40s615/
Televisor;Sencor;SLE;5 490;5 670 Kč;v 42 obchodech;https://televize.heureka.cz/sencor-sle-32s601/
Televisor;Metz;55MUC5000;8 990;10 389 Kč;v 5 obchodech;https://televize.heureka.cz/metz-55muc5000/
Televisor;Metz;32MTB2000;3 932;4 406 Kč;v 22 obchodech;https://televize.heureka.cz/metz-32mtb2000/
Televisor;Sony;KE-65XH9096;27 989;29 990 Kč;v 12 obchodech;https://televize.heureka.cz/sony-ke-65xh9096/
Televisor;Sony;KD-55XG7077;13 489 Kč;no max price;vSony Center;https://www.heureka.cz/exit/ellexgk-cz/3583742322/?z=48
Televisor;LG;50UN8100;9 848;12 653 Kč;v 12 obchodech;https://televize.heureka.cz/lg-50un8100/
Televisor;Philips;32PFS6805;6 190;9 024 Kč;v 28 obchodech;https://televize.heureka.cz/philips-32pfs6805/
Televisor;LG;32LM6380;7 738;9 062 Kč;v 26 obchodech;https://televize.heureka.cz/lg-32lm6380/
